"","CCL2","MPO","ERBB2","CDH5","KDR","IRS1","FLT1","FGFR3","EGFR","group"
"GSM2327319",11.3759207574027,6.43674007815472,6.41932357680791,11.6548919092375,7.06220936868753,6.35674240200301,6.36403931454137,6.40744964471056,6.5439861481548,1
"GSM2327320",10.9145495302222,6.40174664114352,6.48706154876255,11.7221278702712,6.80158228465352,6.48918449613467,6.25009092875203,6.44760247502575,6.56895065956147,1
"GSM2327321",12.1382732326256,6.45156407535324,6.52973305546295,11.78337827338,6.94312884062453,6.32539470844131,6.43094534748335,6.51147330309801,6.47775562143311,1
"GSM2327322",12.4769694682716,6.46791955426658,6.43914570551605,11.9540309276259,7.11078870549175,6.34081065697754,6.40637320556265,6.64626101043274,6.53571926268868,1
"GSM2327323",11.4260545630481,6.39217499770333,6.37561348228675,12.0118934522972,7.26849742495464,6.43712550382496,6.48003480798156,6.64027697266368,6.52826283997525,1
"GSM2327324",11.2680087554784,6.39630671511249,6.51615637649878,11.9040218492587,6.83714780510534,6.43450814888265,6.65463064794561,6.45346937241135,6.57052899079884,0
"GSM2327325",11.810913580013,6.37442037646651,6.4514451411836,11.5231458127981,6.99955250353413,6.42445305364224,6.45061707355099,6.48527116518116,6.5476755022035,0
"GSM2327326",9.7569903401537,6.41356955800969,6.49805288011612,11.4844882961957,6.97981653433916,6.3869642481223,6.3851461004291,6.52916563461608,6.64987403021115,0
"GSM2327327",8.5922889964916,6.58420868065357,6.52473823647961,9.81717732500894,6.66072641233337,7.21728533883977,6.44489411775203,6.57113979163173,6.67391588416751,0
"GSM2327328",7.76697198081765,6.44227303743469,6.41011133523309,6.81261728511825,6.60958346531517,8.12519095694311,6.44394637146069,6.54134294667738,6.79264899239907,0
"Sample_279_CF",16.0302676388084,8.01568489698587,17.5414885317407,12.7436642180556,12.7218079955892,17.8209986511481,13.665562369126,10.7764569931726,18.8790793465566,0
"Sample_571_CF",15.6073151368367,6.98211861026156,18.1792056828876,6.98211861026156,12.3284941443055,17.5830767562399,15.2584108029826,11.7784272865514,18.6411001044051,0
"Sample_665_CF",17.4470417247641,9.01219391275375,17.8923857123182,10.7710353284758,11.2994762781391,16.8808010251435,15.3786648295953,10.3000485562102,18.6406788094458,0
"Sample_812_CF",15.2391288179507,7.08734827890734,18.2085619093587,0,12.2469220315449,17.7714997890041,15.0133817467942,12.7773454181215,18.5715594737676,0
"Sample_223_CM",16.3151751012804,7.36610140282998,17.6980212859016,8.36172229110857,10.6801375009732,17.8229024737435,14.1122988120668,11.2648068748059,18.7849077883953,0
